Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sort,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_method,source_name,SRA Study,strain,treatment
SRR3111046,RNA-Seq,182,1056446846,PRJNA309383,SAMN04432335,469794982,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539358,GFP+,GSM2043289,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043289,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111047,RNA-Seq,182,1177770958,PRJNA309383,SAMN04432336,539733522,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539359,GFP+,GSM2043290,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043290,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111048,RNA-Seq,182,984573408,PRJNA309383,SAMN04432337,438810058,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539360,GFP+,GSM2043291,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043291,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111049,RNA-Seq,182,780537394,PRJNA309383,SAMN04432338,360478746,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539361,GFP+,GSM2043292,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043292,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111050,RNA-Seq,182,702347464,PRJNA309383,SAMN04432339,308261088,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539362,GFP+,GSM2043293,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043293,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111051,RNA-Seq,182,1047617480,PRJNA309383,SAMN04432340,479250045,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539363,GFP+,GSM2043294,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043294,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111052,RNA-Seq,182,925003534,PRJNA309383,SAMN04432341,407242116,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539364,GFP+,GSM2043295,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043295,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111053,RNA-Seq,182,1079642200,PRJNA309383,SAMN04432342,481520613,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539365,GFP+,GSM2043296,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043296,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111054,RNA-Seq,182,863677724,PRJNA309383,SAMN04432343,396681014,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539366,GFP+,GSM2043297,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043297,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111055,RNA-Seq,182,1227662800,PRJNA309383,SAMN04432344,564309939,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539367,GFP+,GSM2043298,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043298,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111056,RNA-Seq,182,1176662760,PRJNA309383,SAMN04432404,539467742,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539368,GFP+,GSM2043299,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043299,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111057,RNA-Seq,182,1105589758,PRJNA309383,SAMN04432345,491058054,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539369,GFP+,GSM2043300,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043300,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111058,RNA-Seq,182,898913470,PRJNA309383,SAMN04432346,394387055,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539370,GFP+,GSM2043301,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043301,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111059,RNA-Seq,182,702245726,PRJNA309383,SAMN04432347,321874340,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539371,GFP+,GSM2043302,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043302,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111060,RNA-Seq,182,470414490,PRJNA309383,SAMN04432348,210142400,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539372,GFP+,GSM2043303,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043303,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111061,RNA-Seq,182,706111952,PRJNA309383,SAMN04432349,324290111,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539373,GFP+,GSM2043304,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043304,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111062,RNA-Seq,182,469396564,PRJNA309383,SAMN04432350,209276529,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539374,GFP+,GSM2043305,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043305,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111063,RNA-Seq,182,1397435676,PRJNA309383,SAMN04432351,637168148,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539375,GFP+,GSM2043306,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043306,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111064,RNA-Seq,182,701058904,PRJNA309383,SAMN04432352,312215366,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539376,GFP+,GSM2043307,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043307,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111065,RNA-Seq,182,660533510,PRJNA309383,SAMN04432353,301171395,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539377,GFP+,GSM2043308,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043308,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111066,RNA-Seq,182,1338999298,PRJNA309383,SAMN04432354,601512051,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539378,GFP+,GSM2043309,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043309,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111067,RNA-Seq,182,1418405534,PRJNA309383,SAMN04432355,656246335,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539379,GFP+,GSM2043310,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043310,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111068,RNA-Seq,182,566790952,PRJNA309383,SAMN04432356,243792537,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539380,GFP+,GSM2043311,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043311,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111069,RNA-Seq,182,529586512,PRJNA309383,SAMN04432297,231117624,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539381,GFP+,GSM2043312,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043312,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111070,RNA-Seq,202,564641308,PRJNA309383,SAMN04432298,241443012,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539382,NeuN+/Prox1+,GSM2043313,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043313,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111071,RNA-Seq,202,727935886,PRJNA309383,SAMN04432299,311861268,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539383,NeuN+/Prox1+,GSM2043314,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043314,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111072,RNA-Seq,202,830658946,PRJNA309383,SAMN04432300,355602767,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539384,NeuN+/Prox1+,GSM2043315,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043315,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111073,RNA-Seq,202,756184980,PRJNA309383,SAMN04432301,320501407,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539385,NeuN+/Prox1+,GSM2043316,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043316,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111074,RNA-Seq,202,567880580,PRJNA309383,SAMN04432302,240542576,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539386,NeuN+/Prox1+,GSM2043317,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043317,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111075,RNA-Seq,202,551254162,PRJNA309383,SAMN04432303,234541768,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539387,NeuN+/Prox1+,GSM2043318,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043318,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111076,RNA-Seq,202,1050597556,PRJNA309383,SAMN04432304,448947473,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539388,NeuN+/Prox1+,GSM2043319,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043319,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111077,RNA-Seq,202,534055882,PRJNA309383,SAMN04432305,229724686,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539389,NeuN+/Prox1+,GSM2043320,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043320,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111078,RNA-Seq,202,425172024,PRJNA309383,SAMN04432306,180336095,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539390,NeuN+/Prox1+,GSM2043321,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043321,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111079,RNA-Seq,202,398594076,PRJNA309383,SAMN04432307,168762032,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539391,NeuN+/Prox1+,GSM2043322,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043322,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111080,RNA-Seq,202,624802160,PRJNA309383,SAMN04432308,264571708,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539392,NeuN+/Prox1+,GSM2043323,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043323,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111081,RNA-Seq,202,749438988,PRJNA309383,SAMN04432309,316892693,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539393,NeuN+/Prox1+,GSM2043324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043324,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111082,RNA-Seq,202,749524838,PRJNA309383,SAMN04432310,317295207,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539394,NeuN+/Prox1+,GSM2043325,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043325,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111083,RNA-Seq,202,760173672,PRJNA309383,SAMN04432311,324294258,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539395,NeuN+/Prox1+,GSM2043326,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043326,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111084,RNA-Seq,202,892082298,PRJNA309383,SAMN04432312,378796105,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539396,NeuN+/Prox1+,GSM2043327,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043327,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111085,RNA-Seq,202,1014655090,PRJNA309383,SAMN04432313,432027556,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539397,NeuN+/Prox1+,GSM2043328,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043328,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111086,RNA-Seq,202,748223958,PRJNA309383,SAMN04432314,318033047,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539398,NeuN+/Prox1+,GSM2043329,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043329,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111087,RNA-Seq,202,770448200,PRJNA309383,SAMN04432315,331442142,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539399,NeuN+/Prox1+,GSM2043330,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043330,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111088,RNA-Seq,202,572852204,PRJNA309383,SAMN04432316,243472277,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539400,NeuN+/Prox1+,GSM2043331,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043331,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111089,RNA-Seq,202,794847982,PRJNA309383,SAMN04432317,336927041,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539401,NeuN+/Prox1+,GSM2043332,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043332,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111090,RNA-Seq,202,697108060,PRJNA309383,SAMN04432318,300835099,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539402,NeuN+/Prox1+,GSM2043333,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043333,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111091,RNA-Seq,202,626309282,PRJNA309383,SAMN04432319,266397427,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539403,NeuN+/Prox1+,GSM2043334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043334,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111092,RNA-Seq,202,724406138,PRJNA309383,SAMN04432320,309541486,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539404,NeuN+/Prox1+,GSM2043335,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043335,single-nuclei RNA-seq,DGC_home-cage_single-nuclei,SRP068706,C57BL/6,home-cage
SRR3111093,RNA-Seq,51,261922638,PRJNA309383,SAMN04432321,101368525,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539405,Prox1+/Fos+,GSM2043336,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043336,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111094,RNA-Seq,51,271499316,PRJNA309383,SAMN04432322,103337981,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539406,Prox1+/Fos+,GSM2043337,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043337,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111095,RNA-Seq,51,299702163,PRJNA309383,SAMN04432323,113860714,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539407,Prox1+/Fos+,GSM2043338,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043338,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111096,RNA-Seq,51,281311971,PRJNA309383,SAMN04432324,106237698,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539408,Prox1+/Fos+,GSM2043339,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043339,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111097,RNA-Seq,51,214054650,PRJNA309383,SAMN04432325,81226221,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539409,Prox1+/Fos+,GSM2043340,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043340,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111098,RNA-Seq,51,281957631,PRJNA309383,SAMN04432363,106112331,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539410,Prox1+/Fos+,GSM2043341,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043341,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111099,RNA-Seq,51,270013023,PRJNA309383,SAMN04432326,101691977,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539411,Prox1+/Fos+,GSM2043342,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043342,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111100,RNA-Seq,51,291087039,PRJNA309383,SAMN04432357,109616559,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539412,Prox1+/Fos+,GSM2043343,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043343,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111101,RNA-Seq,51,260321442,PRJNA309383,SAMN04432358,98185328,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539413,Prox1+/Fos+,GSM2043344,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043344,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
SRR3111102,RNA-Seq,51,246911400,PRJNA309383,SAMN04432359,92666872,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539414,Prox1+/Fos+,GSM2043345,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043345,single-nuclei RNA-seq,DGC_novel environment_single-nuclei,SRP068706,C57BL/6,novel environment
