Symbol_hg	Symbol_mm	ID
4379	DPYSL3	Dpysl3	DPYSL3_Dpysl3
4380	ULK1	Ulk1	ULK1_Ulk1
4381	UMOD	Umod	UMOD_Umod
4382	UCK1	Uck1	UCK1_Uck1
4383	UMPS	Umps	UMPS_Umps
4384	UNC119	Unc119	UNC119_Unc119
4385	UNC13B	Unc13b	UNC13B_Unc13b
4386	UNC5C	Unc5c	UNC5C_Unc5c
4387	UNCX	Uncx	UNCX_Uncx
4388	UNG	Ung	UNG_Ung
4389	USP4	Usp4	USP4_Usp4
4390	NR1H3	Nr1h3	NR1H3_Nr1h3
4391	NR1H2	Nr1h2	NR1H2_Nr1h2
4392	PRAP1	Prap1	PRAP1_Prap1
4393	UPK1B	Upk1b	UPK1B_Upk1b
4394	UPK2	Upk2	UPK2_Upk2
4395	UPK3A	Upk3a	UPK3A_Upk3a
4396	UPP1	Upp1	UPP1_Upp1
4397	UQCRQ	Uqcrq	UQCRQ_Uqcrq
4398	UQCRC1	Uqcrc1	UQCRC1_Uqcrc1
4399	UROD	Urod	UROD_Urod
4400	UROS	Uros	UROS_Uros
4401	USF1	Usf1	USF1_Usf1
4402	USF2	Usf2	USF2_Usf2
4403	USH2A	Ush2a	USH2A_Ush2a
4404	USP9X	Usp9x	USP9X_Usp9x
4405	UTF1	Utf1	UTF1_Utf1
4406	SCGB1A1	Scgb1a1	SCGB1A1_Scgb1a1
4407	UTRN	Utrn	UTRN_Utrn
4408	KDM6A	Kdm6a	KDM6A_Kdm6a
4409	UTY	Uty	UTY_Uty
4410	SLC45A2	Slc45a2	SLC45A2_Slc45a2
4411	UXT	Uxt	UXT_Uxt
4412	CDH23	Cdh23	CDH23_Cdh23
4413	VAMP1	Vamp1	VAMP1_Vamp1
4414	VAMP2	Vamp2	VAMP2_Vamp2
4415	VAMP3	Vamp3	VAMP3_Vamp3
4416	VAMP8	Vamp8	VAMP8_Vamp8
4417	VASP	Vasp	VASP_Vasp
4418	VAV1	Vav1	VAV1_Vav1
4419	VAV2	Vav2	VAV2_Vav2
4420	VAX1	Vax1	VAX1_Vax1
4421	VBP1	Vbp1	VBP1_Vbp1
4422	VCAM1	Vcam1	VCAM1_Vcam1
4423	VCL	Vcl	VCL_Vcl
4424	VDAC1	Vdac1	VDAC1_Vdac1
4425	VDAC2	Vdac2	VDAC2_Vdac2
4426	VDAC3	Vdac3	VDAC3_Vdac3
4427	VDR	Vdr	VDR_Vdr
4428	VEGFA	Vegfa	VEGFA_Vegfa
4429	VEGFB	Vegfb	VEGFB_Vegfb
4430	VEGFC	Vegfc	VEGFC_Vegfc
4431	LIN7B	Lin7b	LIN7B_Lin7b
4432	LIN7C	Lin7c	LIN7C_Lin7c
4433	VEZF1	Vezf1	VEZF1_Vezf1
4434	VHL	Vhl	VHL_Vhl
4435	SLC32A1	Slc32a1	SLC32A1_Slc32a1
4436	VIL1	Vil1	VIL1_Vil1
4437	EZR	Ezr	EZR_Ezr
4438	VILL	Vill	VILL_Vill
4439	VIM	Vim	VIM_Vim
4440	VIP	Vip	VIP_Vip
4441	VIPR1	Vipr1	VIPR1_Vipr1
4442	VIPR2	Vipr2	VIPR2_Vipr2
4443	VLDLR	Vldlr	VLDLR_Vldlr
4444	NRSN1	Nrsn1	NRSN1_Nrsn1
4445	VNN1	Vnn1	VNN1_Vnn1
4446	VPREB3	Vpreb3	VPREB3_Vpreb3
4447	VPS45	Vps45	VPS45_Vps45
4448	VRK1	Vrk1	VRK1_Vrk1
4449	TRPV2	Trpv2	TRPV2_Trpv2
4450	VTN	Vtn	VTN_Vtn
4451	VWF	Vwf	VWF_Vwf
4452	WAS	Was	WAS_Was
4453	WBP1	Wbp1	WBP1_Wbp1
4454	WBP2	Wbp2	WBP2_Wbp2
4455	FMNL3	Fmnl3	FMNL3_Fmnl3
4456	WBP4	Wbp4	WBP4_Wbp4
4457	TCEAL9	Tceal9	TCEAL9_Tceal9
4458	EIF4H	Eif4h	EIF4H_Eif4h
4459	BAZ1B	Baz1b	BAZ1B_Baz1b
4460	WDR1	Wdr1	WDR1_Wdr1
4461	WEE1	Wee1	WEE1_Wee1
4462	WFS1	Wfs1	WFS1_Wfs1
4463	ZMAT3	Zmat3	ZMAT3_Zmat3
4464	CCN4	Ccn4	CCN4_Ccn4
4465	CCN5	Ccn5	CCN5_Ccn5
4466	WIZ	Wiz	WIZ_Wiz
4467	WNT1	Wnt1	WNT1_Wnt1
4468	WNT10A	Wnt10a	WNT10A_Wnt10a
4469	WNT10B	Wnt10b	WNT10B_Wnt10b
4470	WNT11	Wnt11	WNT11_Wnt11
4471	WNT9B	Wnt9b	WNT9B_Wnt9b
4472	WNT2	Wnt2	WNT2_Wnt2
4473	WNT2B	Wnt2b	WNT2B_Wnt2b
4474	WNT3	Wnt3	WNT3_Wnt3
4475	WNT3A	Wnt3a	WNT3A_Wnt3a
4476	WNT4	Wnt4	WNT4_Wnt4
4477	WNT5A	Wnt5a	WNT5A_Wnt5a
4478	WNT5B	Wnt5b	WNT5B_Wnt5b
4479	WNT6	Wnt6	WNT6_Wnt6
4480	WNT7A	Wnt7a	WNT7A_Wnt7a
4481	WNT7B	Wnt7b	WNT7B_Wnt7b
4482	WNT8B	Wnt8b	WNT8B_Wnt8b
4483	WRN	Wrn	WRN_Wrn
4484	DCTN6	Dctn6	DCTN6_Dctn6
4485	WT1	Wt1	WT1_Wt1
4486	XBP1	Xbp1	XBP1_Xbp1
4487	XDH	Xdh	XDH_Xdh
4488	XIRP1	Xirp1	XIRP1_Xirp1
4489	XK	Xk	XK_Xk
4490	ATRX	Atrx	ATRX_Atrx
4491	XPA	Xpa	XPA_Xpa
4492	XPC	Xpc	XPC_Xpc
4493	ERCC5	Ercc5	ERCC5_Ercc5
4494	XRCC1	Xrcc1	XRCC1_Xrcc1
4495	XRCC5	Xrcc5	XRCC5_Xrcc5
4496	SLC6A18	Slc6a18	SLC6A18_Slc6a18
4497	YAP1	Yap1	YAP1_Yap1
4498	YBX1	Ybx1	YBX1_Ybx1
4499	YES1	Yes1	YES1_Yes1
4500	SIAE	Siae	SIAE_Siae
4501	MAP3K19	Map3k19	MAP3K19_Map3k19
4502	SLC23A3	Slc23a3	SLC23A3_Slc23a3
4503	YWHAE	Ywhae	YWHAE_Ywhae
4504	YWHAG	Ywhag	YWHAG_Ywhag
4505	YWHAH	Ywhah	YWHAH_Ywhah
4506	YWHAQ	Ywhaq	YWHAQ_Ywhaq
4507	YWHAZ	Ywhaz	YWHAZ_Ywhaz
4508	YY1	Yy1	YY1_Yy1
4509	PLAGL1	Plagl1	PLAGL1_Plagl1
4510	ZAN	Zan	ZAN_Zan
4511	ZAP70	Zap70	ZAP70_Zap70
4512	ZFP1	Zfp1	ZFP1_Zfp1
4513	ZBTB17	Zbtb17	ZBTB17_Zbtb17
4514	RNF103	Rnf103	RNF103_Rnf103
4515	ZNF35	Zfp105	ZNF35_Zfp105
4516	MKRN3	Mkrn3	MKRN3_Mkrn3
4517	ZNF205	Zfp13	ZNF205_Zfp13
4518	PCGF2	Pcgf2	PCGF2_Pcgf2
4519	ZNF148	Zfp148	ZNF148_Zfp148
4520	ZBTB14	Zbtb14	ZBTB14_Zbtb14
4521	SF1	Sf1	SF1_Sf1
4522	TRIM26	Trim26	TRIM26_Trim26
4523	RNF112	Rnf112	RNF112_Rnf112
4524	ZNF185	Zfp185	ZNF185_Zfp185
4525	ZFP2	Zfp2	ZFP2_Zfp2
4526	ZNF207	Zfp207	ZNF207_Zfp207
4527	ZFAND5	Zfand5	ZFAND5_Zfand5
4528	ZNF239	Zfp239	ZNF239_Zfp239
4529	ZPR1	Zpr1	ZPR1_Zpr1
4530	ZNF585A	Zfp27	ZNF585A_Zfp27
4531	ZFP28	Zfp28	ZFP28_Zfp28
4532	ZSCAN2	Zscan2	ZSCAN2_Zscan2
4533	ZFP30	Zfp30	ZFP30_Zfp30
4534	ZFP36	Zfp36	ZFP36_Zfp36
4535	ZFP37	Zfp37	ZFP37_Zfp37
4536	ZSCAN21	Zscan21	ZSCAN21_Zscan21
4537	ZFP41	Zfp41	ZFP41_Zfp41
4538	ZFP42	Zfp42	ZFP42_Zfp42
4539	ZNF436	Zfp46	ZNF436_Zfp46
4540	ZFP57	Zfp57	ZFP57_Zfp57
4541	ZFP62	Zfp62	ZFP62_Zfp62
4542	ZFP64	Zfp64	ZFP64_Zfp64
4543	ZBTB7B	Zbtb7b	ZBTB7B_Zbtb7b
4544	ZNF25	Zfp9	ZNF25_Zfp9
4545	ZFP90	Zfp90	ZFP90_Zfp90
4546	ZFP92	Zfp92	ZFP92_Zfp92
4547	ZNF45	Zfp94	ZNF45_Zfp94
4548	ZKSCAN5	Zkscan5	ZKSCAN5_Zkscan5
4549	ZSCAN12	Zscan12	ZSCAN12_Zscan12
4550	ZFPM1	Zfpm1	ZFPM1_Zfpm1
4551	ZFPM2	Zfpm2	ZFPM2_Zfpm2
4552	ZFR	Zfr	ZFR_Zfr
4553	ZFX	Zfx	ZFX_Zfx
4554	ZHX1	Zhx1	ZHX1_Zhx1
4555	ZIC1	Zic1	ZIC1_Zic1
4556	ZIC2	Zic2	ZIC2_Zic2
4557	ZIC3	Zic3	ZIC3_Zic3
4558	ZIC4	Zic4	ZIC4_Zic4
4559	ZIK1	Zik1	ZIK1_Zik1
4560	IKZF1	Ikzf1	IKZF1_Ikzf1
4561	IKZF2	Ikzf2	IKZF2_Ikzf2
4562	IKZF3	Ikzf3	IKZF3_Ikzf3
4563	IKZF4	Ikzf4	IKZF4_Ikzf4
4564	SLC30A1	Slc30a1	SLC30A1_Slc30a1
4565	SLC30A3	Slc30a3	SLC30A3_Slc30a3
4566	SLC30A4	Slc30a4	SLC30A4_Slc30a4
4567	ZP1	Zp1	ZP1_Zp1
4568	ZP2	Zp2	ZP2_Zp2
4569	ZP3	Zp3	ZP3_Zp3
4570	DNAJC2	Dnajc2	DNAJC2_Dnajc2
4571	ZYX	Zyx	ZYX_Zyx
4572	CORO1B	Coro1b	CORO1B_Coro1b
4573	CORO1C	Coro1c	CORO1C_Coro1c
4574	ADAM23	Adam23	ADAM23_Adam23
4575	ADAMTS5	Adamts5	ADAMTS5_Adamts5
4576	AGR2	Agr2	AGR2_Agr2
4577	APLNR	Aplnr	APLNR_Aplnr
4578	AKT3	Akt3	AKT3_Akt3
4579	ALOXE3	Aloxe3	ALOXE3_Aloxe3
4580	AMFR	Amfr	AMFR_Amfr
4581	APC2	Apc2	APC2_Apc2
4582	ARIH1	Arih1	ARIH1_Arih1
4583	ARIH2	Arih2	ARIH2_Arih2
4584	ASH2L	Ash2l	ASH2L_Ash2l
4585	BACE1	Bace1	BACE1_Bace1
4586	BANF1	Banf1	BANF1_Banf1
4587	BPNT1	Bpnt1	BPNT1_Bpnt1
4588	BVES	Bves	BVES_Bves
4589	C1QL1	C1ql1	C1QL1_C1ql1
4590	CAPN10	Capn10	CAPN10_Capn10
4591	CA14	Car14	CA14_Car14
4592	XCR1	Xcr1	XCR1_Xcr1
4593	CD52	Cd52	CD52_Cd52
4594	CDC6	Cdc6	CDC6_Cdc6
4595	CDH20	Cdh20	CDH20_Cdh20
4596	CFDP1	Cfdp1	CFDP1_Cfdp1
4597	CLCA1	Clca1	CLCA1_Clca1
4598	CLEC5A	Clec5a	CLEC5A_Clec5a
4599	KLF6	Klf6	KLF6_Klf6
4600	PAPPA2	Pappa2	PAPPA2_Pappa2
4601	DEF6	Def6	DEF6_Def6
4602	DEF8	Def8	DEF8_Def8
4603	DIDO1	Dido1	DIDO1_Dido1
4604	DMTF1	Dmtf1	DMTF1_Dmtf1
4605	DLG2	Dlg2	DLG2_Dlg2
4606	DAND5	Dand5	DAND5_Dand5
4607	ETS1	Ets1	ETS1_Ets1
4608	ETS2	Ets2	ETS2_Ets2
4609	FAIM	Faim	FAIM_Faim
4610	FARSB	Farsb	FARSB_Farsb
4611	FBLN5	Fbln5	FBLN5_Fbln5
4612	FIZ1	Fiz1	FIZ1_Fiz1
4613	FXR2	Fxr2	FXR2_Fxr2
4614	FYB1	Fyb	FYB1_Fyb
4615	G3BP2	G3bp2	G3BP2_G3bp2
4616	GADD45G	Gadd45g	GADD45G_Gadd45g
4617	GMCL1	Gmcl1	GMCL1_Gmcl1
4618	GDF15	Gdf15	GDF15_Gdf15
4619	GGT5	Ggt5	GGT5_Ggt5
4620	GPC6	Gpc6	GPC6_Gpc6
4621	GPR34	Gpr34	GPR34_Gpr34
4622	GREM1	Grem1	GREM1_Grem1
4623	GREM2	Grem2	GREM2_Grem2
4624	HAX1	Hax1	HAX1_Hax1
4625	HCST	Hcst	HCST_Hcst
4626	HS2ST1	Hs2st1	HS2ST1_Hs2st1
4627	RHOF	Rhof	RHOF_Rhof
4628	IMPDH1	Impdh1	IMPDH1_Impdh1
4629	IMPDH2	Impdh2	IMPDH2_Impdh2
4630	INSL5	Insl5	INSL5_Insl5
4631	INSRR	Insrr	INSRR_Insrr
4632	SH2B2	Sh2b2	SH2B2_Sh2b2
4633	JTB	Jtb	JTB_Jtb
4634	AADAT	Aadat	AADAT_Aadat
4635	KATNA1	Katna1	KATNA1_Katna1
4636	KEL	Kel	KEL_Kel
4637	LAMC3	Lamc3	LAMC3_Lamc3
4638	LY6H	Ly6h	LY6H_Ly6h
4639	LYNX1	Lynx1	LYNX1_Lynx1
4640	MAB21L2	Mab21l2	MAB21L2_Mab21l2
4641	MAP2K5	Map2k5	MAP2K5_Map2k5
4642	MAPK7	Mapk7	MAPK7_Mapk7
4643	MTA2	Mta2	MTA2_Mta2
4644	ESYT1	Esyt1	ESYT1_Esyt1
4645	MGLL	Mgll	MGLL_Mgll
4646	MID2	Mid2	MID2_Mid2
4647	MMP17	Mmp17	MMP17_Mmp17
4648	DNAJB6	Dnajb6	DNAJB6_Dnajb6
4649	NEK3	Nek3	NEK3_Nek3
4650	NEK4	Nek4	NEK4_Nek4
4651	NEU2	Neu2	NEU2_Neu2
4652	NR0B2	Nr0b2	NR0B2_Nr0b2
4653	NR2E3	Nr2e3	NR2E3_Nr2e3
4654	NT5E	Nt5e	NT5E_Nt5e
4655	TENM1	Tenm1	TENM1_Tenm1
4656	TENM2	Tenm2	TENM2_Tenm2
4657	TENM3	Tenm3	TENM3_Tenm3
4658	TENM4	Tenm4	TENM4_Tenm4
4659	OSR1	Osr1	OSR1_Osr1
4660	NLRP5	Nlrp5	NLRP5_Nlrp5
4661	PACSIN1	Pacsin1	PACSIN1_Pacsin1
4662	PACSIN2	Pacsin2	PACSIN2_Pacsin2
4663	PAPSS1	Papss1	PAPSS1_Papss1
4664	PAPSS2	Papss2	PAPSS2_Papss2
4665	PEBP1	Pebp1	PEBP1_Pebp1
4666	PCBP1	Pcbp1	PCBP1_Pcbp1
4667	PDE10A	Pde10a	PDE10A_Pde10a
4668	SLC26A4	Slc26a4	SLC26A4_Slc26a4
4669	ECI2	Eci2	ECI2_Eci2
4670	PIN1	Pin1	PIN1_Pin1
4671	MED24	Med24	MED24_Med24
4672	CIB1	Cib1	CIB1_Cib1
4673	PRKRA	Prkra	PRKRA_Prkra
4674	KLK7	Klk7	KLK7_Klk7
4675	DAZAP2	Dazap2	DAZAP2_Dazap2
4676	PSMC4	Psmc4	PSMC4_Psmc4
4677	PSMD13	Psmd13	PSMD13_Psmd13
4678	TWF2	Twf2	TWF2_Twf2
4679	PTPN21	Ptpn21	PTPN21_Ptpn21
4680	TIAM2	Tiam2	TIAM2_Tiam2
4681	RAI2	Rai2	RAI2_Rai2
4682	IK	Ik	IK_Ik
4683	RGS7	Rgs7	RGS7_Rgs7
4684	GRK1	Grk1	GRK1_Grk1
4685	RNASEL	Rnasel	RNASEL_Rnasel
4686	ABCE1	Abce1	ABCE1_Abce1
4687	RNF13	Rnf13	RNF13_Rnf13
4688	RNGTT	Rngtt	RNGTT_Rngtt
4689	MRPS12	Mrps12	MRPS12_Mrps12
4690	SCAMP2	Scamp2	SCAMP2_Scamp2
4691	SCAMP3	Scamp3	SCAMP3_Scamp3
4692	SCN11A	Scn11a	SCN11A_Scn11a
4693	SGCB	Sgcb	SGCB_Sgcb
4694	SGCD	Sgcd	SGCD_Sgcd
4695	SGCG	Sgcg	SGCG_Sgcg
4696	SH3BP2	Sh3bp2	SH3BP2_Sh3bp2
4697	SH3BP5	Sh3bp5	SH3BP5_Sh3bp5
4698	SH3YL1	Sh3yl1	SH3YL1_Sh3yl1
4699	SIGIRR	Sigirr	SIGIRR_Sigirr
4700	SLCO2A1	Slco2a1	SLCO2A1_Slco2a1
4701	SLC35A1	Slc35a1	SLC35A1_Slc35a1
4702	SMC1A	Smc1a	SMC1A_Smc1a
4703	SPRY1	Spry1	SPRY1_Spry1
4704	SPRY2	Spry2	SPRY2_Spry2
4705	SPRY4	Spry4	SPRY4_Spry4
4706	SRA1	Sra1	SRA1_Sra1
4707	SUFU	Sufu	SUFU_Sufu
4708	MPDU1	Mpdu1	MPDU1_Mpdu1
4709	SYNJ2BP	Synj2bp	SYNJ2BP_Synj2bp
4710	TAF7	Taf7	TAF7_Taf7
4711	TAF10	Taf10	TAF10_Taf10
4712	NATD1	Natd1	NATD1_Natd1
4713	TEKT2	Tekt2	TEKT2_Tekt2
4714	TLK2	Tlk2	TLK2_Tlk2
4715	TLL2	Tll2	TLL2_Tll2
4716	TLR2	Tlr2	TLR2_Tlr2
4717	TNFSF13B	Tnfsf13b	TNFSF13B_Tnfsf13b
4718	TPRA1	Tpra1	TPRA1_Tpra1
4719	TREX2	Trex2	TREX2_Trex2
4720	RBCK1	Rbck1	RBCK1_Rbck1
4721	UBD	Ubd	UBD_Ubd
4722	UBL3	Ubl3	UBL3_Ubl3
4723	USP18	Usp18	USP18_Usp18
4724	UTS2	Uts2	UTS2_Uts2
4725	VAX2	Vax2	VAX2_Vax2
4726	BEST1	Best1	BEST1_Best1
4727	NELFA	Nelfa	NELFA_Nelfa
4728	WIF1	Wif1	WIF1_Wif1
4729	XRN1	Xrn1	XRN1_Xrn1
4730	XRN2	Xrn2	XRN2_Xrn2
4731	LDB3	Ldb3	LDB3_Ldb3
4732	ZEB2	Zeb2	ZEB2_Zeb2
4733	ING1	Ing1	ING1_Ing1
4734	ABCG2	Abcg2	ABCG2_Abcg2
4735	ANXA10	Anxa10	ANXA10_Anxa10
4736	ANGPTL2	Angptl2	ANGPTL2_Angptl2
4737	AVPR1B	Avpr1b	AVPR1B_Avpr1b
4738	AXL	Axl	AXL_Axl
4739	BTD	Btd	BTD_Btd
4740	ADGRE5	Adgre5	ADGRE5_Adgre5
4741	CEACAM1	Ceacam1	CEACAM1_Ceacam1
4742	CEACAM4	Ceacam10	CEACAM4_Ceacam10
4743	CEACAM21	Ceacam9	CEACAM21_Ceacam9
4744	CETN1	Cetn1	CETN1_Cetn1
4745	CETN2	Cetn2	CETN2_Cetn2
4746	CIAO1	Ciao1	CIAO1_Ciao1
4747	CLCN6	Clcn6	CLCN6_Clcn6
4748	CLCN7	Clcn7	CLCN7_Clcn7
4749	COP1	Cop1	COP1_Cop1
4750	DAPP1	Dapp1	DAPP1_Dapp1
4751	DECR2	Decr2	DECR2_Decr2
4752	ESRRA	Esrra	ESRRA_Esrra
4753	ESRRB	Esrrb	ESRRB_Esrrb
4754	ESRRG	Esrrg	ESRRG_Esrrg
4755	FGD2	Fgd2	FGD2_Fgd2
4756	FTO	Fto	FTO_Fto
4757	GNPDA1	Gnpda1	GNPDA1_Gnpda1
4758	GRK6	Grk6	GRK6_Grk6
4759	HSF4	Hsf4	HSF4_Hsf4
4760	MAPKBP1	Mapkbp1	MAPKBP1_Mapkbp1
4761	LYPLA2	Lypla2	LYPLA2_Lypla2
4762	MAP2K1	Map2k1	MAP2K1_Map2k1
4763	MAP2K2	Map2k2	MAP2K2_Map2k2
4764	MAP2K3	Map2k3	MAP2K3_Map2k3
4765	MAP2K4	Map2k4	MAP2K4_Map2k4
4766	MAP2K6	Map2k6	MAP2K6_Map2k6
4767	MAP2K7	Map2k7	MAP2K7_Map2k7
4768	MAP3K1	Map3k1	MAP3K1_Map3k1
4769	MAP3K11	Map3k11	MAP3K11_Map3k11
4770	MAP3K12	Map3k12	MAP3K12_Map3k12
4771	MAP3K2	Map3k2	MAP3K2_Map3k2
4772	MAP3K3	Map3k3	MAP3K3_Map3k3
4773	MAP3K4	Map3k4	MAP3K4_Map3k4
4774	MAP3K5	Map3k5	MAP3K5_Map3k5
4775	MAP3K7	Map3k7	MAP3K7_Map3k7
4776	MAP3K8	Map3k8	MAP3K8_Map3k8
4777	MAP4K1	Map4k1	MAP4K1_Map4k1
4778	MAP4K2	Map4k2	MAP4K2_Map4k2
4779	MAPK1	Mapk1	MAPK1_Mapk1
4780	MAPK10	Mapk10	MAPK10_Mapk10
4781	MAPK13	Mapk13	MAPK13_Mapk13
4782	MAPK14	Mapk14	MAPK14_Mapk14
4783	MAPK3	Mapk3	MAPK3_Mapk3
4784	MAPK8	Mapk8	MAPK8_Mapk8
4785	MAPK9	Mapk9	MAPK9_Mapk9
4786	NBEA	Nbea	NBEA_Nbea
4787	NR5A1	Nr5a1	NR5A1_Nr5a1
4788	NR5A2	Nr5a2	NR5A2_Nr5a2
4789	NUBP1	Nubp1	NUBP1_Nubp1
4790	NUBP2	Nubp2	NUBP2_Nubp2
4791	CREB3L1	Creb3l1	CREB3L1_Creb3l1
4792	ORC4	Orc4	ORC4_Orc4
4793	ORC5	Orc5	ORC5_Orc5
4794	PARG	Parg	PARG_Parg
4795	GIT2	Git2	GIT2_Git2
4796	PLOD2	Plod2	PLOD2_Plod2
4797	PLOD3	Plod3	PLOD3_Plod3
4798	PRND	Prnd	PRND_Prnd
4799	PSMA1	Psma1	PSMA1_Psma1
4800	PSMA4	Psma4	PSMA4_Psma4
4801	PSMA5	Psma5	PSMA5_Psma5
4802	PSMA6	Psma6	PSMA6_Psma6
4803	PSMA7	Psma7	PSMA7_Psma7
4804	PSMB2	Psmb2	PSMB2_Psmb2
4805	PSMB3	Psmb3	PSMB3_Psmb3
4806	POLI	Poli	POLI_Poli
4807	MOK	Mok	MOK_Mok
4808	RBBP9	Rbbp9	RBBP9_Rbbp9
4809	RPL27A	Rpl27a	RPL27A_Rpl27a
4810	SEMA4G	Sema4g	SEMA4G_Sema4g
4811	SLC27A1	Slc27a1	SLC27A1_Slc27a1
4812	SLC27A2	Slc27a2	SLC27A2_Slc27a2
4813	SLC27A5	Slc27a5	SLC27A5_Slc27a5
4814	TXNRD2	Txnrd2	TXNRD2_Txnrd2
4815	ZNF146	Zfp146	ZNF146_Zfp146
4816	ZNF260	Zfp260	ZNF260_Zfp260
4817	ITGB1BP2	Itgb1bp2	ITGB1BP2_Itgb1bp2
4818	CUL3	Cul3	CUL3_Cul3
4819	HOMER1	Homer1	HOMER1_Homer1
4820	HOMER2	Homer2	HOMER2_Homer2
4821	HOMER3	Homer3	HOMER3_Homer3
4822	HUNK	Hunk	HUNK_Hunk
4823	KRTAP15-1	Krtap15	KRTAP15-1_Krtap15
4824	MMP23B	Mmp23	MMP23B_Mmp23
4825	NCDN	Ncdn	NCDN_Ncdn
4826	ROR1	Ror1	ROR1_Ror1
4827	ROR2	Ror2	ROR2_Ror2
4828	PLA2G10	Pla2g10	PLA2G10_Pla2g10
4829	SLC27A3	Slc27a3	SLC27A3_Slc27a3
4830	SLC27A4	Slc27a4	SLC27A4_Slc27a4
4831	SLC7A11	Slc7a11	SLC7A11_Slc7a11
4832	COPS3	Cops3	COPS3_Cops3
4833	RCN2	Rcn2	RCN2_Rcn2
4834	COPS5	Cops5	COPS5_Cops5
4835	DPYSL4	Dpysl4	DPYSL4_Dpysl4
4836	ABCD2	Abcd2	ABCD2_Abcd2
4837	PCLO	Pclo	PCLO_Pclo
4838	ADH4	Adh4	ADH4_Adh4
4839	B3GALT1	B3galt1	B3GALT1_B3galt1
4840	B3GALT2	B3galt2	B3GALT2_B3galt2
4841	B3GALNT1	B3galnt1	B3GALNT1_B3galnt1
4842	CASP8AP2	Casp8ap2	CASP8AP2_Casp8ap2
4843	CENPH	Cenph	CENPH_Cenph
4844	CHST4	Chst4	CHST4_Chst4
4845	CLEC4A	Clec4a2	CLEC4A_Clec4a2
4846	CLN8	Cln8	CLN8_Cln8
4847	COPS4	Cops4	COPS4_Cops4
4848	COPS6	Cops6	COPS6_Cops6
4849	COPS7A	Cops7a	COPS7A_Cops7a
4850	COPS7B	Cops7b	COPS7B_Cops7b
4851	MED14	Med14	MED14_Med14
4852	DDX3Y	Ddx3y	DDX3Y_Ddx3y
4853	SS18L2	Ss18l2	SS18L2_Ss18l2
4854	DYSF	Dysf	DYSF_Dysf
4855	SH2D1B	Sh2d1b1	SH2D1B_Sh2d1b1
4856	EIF2S3	Eif2s3x	EIF2S3_Eif2s3x
4857	EXO1	Exo1	EXO1_Exo1
4858	FIGLA	Figla	FIGLA_Figla
4859	GCAT	Gcat	GCAT_Gcat
4860	GPRIN1	Gprin1	GPRIN1_Gprin1
4861	ERN2	Ern2	ERN2_Ern2
4862	ZNF346	Zfp346	ZNF346_Zfp346
4863	CNTRL	Cntrl	CNTRL_Cntrl
4864	MAP4K4	Map4k4	MAP4K4_Map4k4
4865	MECR	Mecr	MECR_Mecr
4866	AIFM1	Aifm1	AIFM1_Aifm1
4867	FOXL2	Foxl2	FOXL2_Foxl2
4868	PPP2R5C	Ppp2r5c	PPP2R5C_Ppp2r5c
4869	PPP2R5E	Ppp2r5e	PPP2R5E_Ppp2r5e
4870	RACGAP1	Racgap1	RACGAP1_Racgap1
4871	MPRIP	Mprip	MPRIP_Mprip
4872	ST6GALNAC5	St6galnac5	ST6GALNAC5_St6galnac5
4873	POLR3E	Polr3e	POLR3E_Polr3e
4874	ECSIT	Ecsit	ECSIT_Ecsit
4875	SLC9A3R1	Slc9a3r1	SLC9A3R1_Slc9a3r1
4876	SPAG1	Spag1	SPAG1_Spag1
4877	SERINC3	Serinc3	SERINC3_Serinc3
4878	TINAG	Tinag	TINAG_Tinag
4879	TPSG1	Tpsg1	TPSG1_Tpsg1
4880	TRPC7	Trpc7	TRPC7_Trpc7
4881	VAT1	Vat1	VAT1_Vat1
4882	VSNL1	Vsnl1	VSNL1_Vsnl1
4883	ZW10	Zw10	ZW10_Zw10
4884	RPL8	Rpl8	RPL8_Rpl8
4885	CUL1	Cul1	CUL1_Cul1
4886	ISLR	Islr	ISLR_Islr
4887	PLA2G2E	Pla2g2e	PLA2G2E_Pla2g2e
4888	PLA2G2F	Pla2g2f	PLA2G2F_Pla2g2f
4889	SPO11	Spo11	SPO11_Spo11
4890	EIF4E2	Eif4e2	EIF4E2_Eif4e2
4891	BRD7	Brd7	BRD7_Brd7
4892	KLRK1	Klrk1	KLRK1_Klrk1
4893	MICALL1	Micall1	MICALL1_Micall1
4894	POLK	Polk	POLK_Polk
4895	TSPAN32	Tspan32	TSPAN32_Tspan32
4896	ERMAP	Ermap	ERMAP_Ermap
4897	SGSH	Sgsh	SGSH_Sgsh
4898	G3BP1	G3bp1	G3BP1_G3bp1
4899	NIT1	Nit1	NIT1_Nit1
4900	OMD	Omd	OMD_Omd
4901	ETV3	Etv3	ETV3_Etv3
4902	RPS3	Rps3	RPS3_Rps3
4903	AOAH	Aoah	AOAH_Aoah
4904	ASNS	Asns	ASNS_Asns
4905	SEC23B	Sec23b	SEC23B_Sec23b
4906	FKBP9	Fkbp9	FKBP9_Fkbp9
4907	IRF5	Irf5	IRF5_Irf5
4908	NCOA4	Ncoa4	NCOA4_Ncoa4
4909	SRP9	Srp9	SRP9_Srp9
4910	SH3D19	Sh3d19	SH3D19_Sh3d19
4911	TCIRG1	Tcirg1	TCIRG1_Tcirg1
4912	BCAP31	Bcap31	BCAP31_Bcap31
4913	CADPS	Cadps	CADPS_Cadps
