Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR4040544,12 weeks,RNA-Seq,64,5167488,PRJNA339170,SAMN05582207,3159434,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031655,GSM2282493,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282493,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040545,12 weeks,RNA-Seq,64,6336512,PRJNA339170,SAMN05582206,3745339,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031656,GSM2282494,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282494,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040546,12 weeks,RNA-Seq,64,3806720,PRJNA339170,SAMN05582205,2351930,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031657,GSM2282495,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282495,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040547,12 weeks,RNA-Seq,64,7599872,PRJNA339170,SAMN05582204,4563734,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031658,GSM2282496,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282496,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040548,12 weeks,RNA-Seq,64,3835968,PRJNA339170,SAMN05582203,2277227,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031659,GSM2282497,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282497,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040549,12 weeks,RNA-Seq,64,3927680,PRJNA339170,SAMN05582202,2425017,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031660,GSM2282498,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282498,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040550,12 weeks,RNA-Seq,64,1253504,PRJNA339170,SAMN05582201,832463,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031661,GSM2282499,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282499,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040551,12 weeks,RNA-Seq,64,6381568,PRJNA339170,SAMN05582200,3817498,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031662,GSM2282500,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282500,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040552,12 weeks,RNA-Seq,64,2736512,PRJNA339170,SAMN05582199,1713609,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031663,GSM2282501,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282501,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040553,12 weeks,RNA-Seq,64,12905728,PRJNA339170,SAMN05582198,6771594,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031664,GSM2282502,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282502,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040554,12 weeks,RNA-Seq,64,5207616,PRJNA339170,SAMN05582197,2821493,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031665,GSM2282503,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282503,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040555,12 weeks,RNA-Seq,64,36038080,PRJNA339170,SAMN05582314,18832808,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031666,GSM2282504,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282504,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040556,12 weeks,RNA-Seq,64,35423040,PRJNA339170,SAMN05582313,18492074,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031667,GSM2282505,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282505,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040557,12 weeks,RNA-Seq,64,40442688,PRJNA339170,SAMN05582312,21222840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031668,GSM2282506,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282506,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040558,12 weeks,RNA-Seq,64,37286464,PRJNA339170,SAMN05582311,19617784,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031669,GSM2282507,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282507,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040559,12 weeks,RNA-Seq,64,29579712,PRJNA339170,SAMN05582310,15425368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031670,GSM2282508,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282508,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040560,12 weeks,RNA-Seq,64,32351488,PRJNA339170,SAMN05582309,16919658,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031671,GSM2282509,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282509,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040561,12 weeks,RNA-Seq,64,42383552,PRJNA339170,SAMN05582308,22089366,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031672,GSM2282510,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282510,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040562,12 weeks,RNA-Seq,64,23985856,PRJNA339170,SAMN05582307,12665254,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031673,GSM2282511,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282511,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040563,12 weeks,RNA-Seq,64,16275584,PRJNA339170,SAMN05582306,8874841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031674,GSM2282512,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282512,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040564,12 weeks,RNA-Seq,64,21753856,PRJNA339170,SAMN05582305,11813198,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031675,GSM2282513,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282513,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040565,12 weeks,RNA-Seq,64,22311936,PRJNA339170,SAMN05582304,12147891,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031676,GSM2282514,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282514,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040566,12 weeks,RNA-Seq,64,21038336,PRJNA339170,SAMN05582303,11441566,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031677,GSM2282515,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282515,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040567,12 weeks,RNA-Seq,64,3254912,PRJNA339170,SAMN05582302,1847378,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031678,GSM2282516,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282516,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040568,12 weeks,RNA-Seq,64,38292544,PRJNA339170,SAMN05582301,20041093,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031679,GSM2282517,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282517,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040569,12 weeks,RNA-Seq,64,20267136,PRJNA339170,SAMN05582300,10659835,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031680,GSM2282518,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282518,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040570,12 weeks,RNA-Seq,64,35090752,PRJNA339170,SAMN05582299,18647515,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031681,GSM2282519,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282519,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040571,12 weeks,RNA-Seq,64,28153024,PRJNA339170,SAMN05582298,14984143,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031682,GSM2282520,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282520,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040572,12 weeks,RNA-Seq,64,23219328,PRJNA339170,SAMN05582297,12012069,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031683,GSM2282521,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282521,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040573,12 weeks,RNA-Seq,64,32466688,PRJNA339170,SAMN05582296,16836571,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031684,GSM2282522,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282522,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040574,12 weeks,RNA-Seq,64,35758464,PRJNA339170,SAMN05582295,18576708,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031685,GSM2282523,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282523,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040575,12 weeks,RNA-Seq,64,26828544,PRJNA339170,SAMN05582294,13969527,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031686,GSM2282524,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282524,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040576,12 weeks,RNA-Seq,64,34217536,PRJNA339170,SAMN05582293,17764215,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031687,GSM2282525,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282525,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040577,12 weeks,RNA-Seq,64,37251968,PRJNA339170,SAMN05582292,19255000,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031688,GSM2282526,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282526,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040578,12 weeks,RNA-Seq,64,22900288,PRJNA339170,SAMN05582291,11789528,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031689,GSM2282527,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282527,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040579,12 weeks,RNA-Seq,64,43079296,PRJNA339170,SAMN05582290,22125096,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031690,GSM2282528,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282528,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040580,12 weeks,RNA-Seq,64,39459776,PRJNA339170,SAMN05582289,20305671,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031691,GSM2282529,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282529,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040581,12 weeks,RNA-Seq,64,37434176,PRJNA339170,SAMN05582288,19270276,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031692,GSM2282530,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282530,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040582,12 weeks,RNA-Seq,64,37870464,PRJNA339170,SAMN05582287,19488955,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031693,GSM2282531,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282531,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040583,12 weeks,RNA-Seq,64,36203648,PRJNA339170,SAMN05582286,18632565,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031694,GSM2282532,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282532,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040584,12 weeks,RNA-Seq,64,35931712,PRJNA339170,SAMN05582285,18553191,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031695,GSM2282533,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282533,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040585,12 weeks,RNA-Seq,64,38637312,PRJNA339170,SAMN05582127,19918149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031696,GSM2282534,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282534,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040586,12 weeks,RNA-Seq,64,35905536,PRJNA339170,SAMN05582126,18517137,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031697,GSM2282535,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282535,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040587,12 weeks,RNA-Seq,64,45698176,PRJNA339170,SAMN05582125,23502008,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031698,GSM2282536,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282536,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040588,12 weeks,RNA-Seq,64,49276032,PRJNA339170,SAMN05582124,25344755,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031699,GSM2282537,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282537,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040589,12 weeks,RNA-Seq,64,39492544,PRJNA339170,SAMN05582123,20665385,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031700,GSM2282538,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282538,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040590,12 weeks,RNA-Seq,64,36398976,PRJNA339170,SAMN05582122,19082428,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031701,GSM2282539,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282539,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040591,12 weeks,RNA-Seq,64,37035392,PRJNA339170,SAMN05582116,19370486,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031702,GSM2282540,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282540,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040592,12 weeks,RNA-Seq,64,37075584,PRJNA339170,SAMN05582121,19471075,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031703,GSM2282541,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282541,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040593,12 weeks,RNA-Seq,64,35682112,PRJNA339170,SAMN05582120,18696633,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031704,GSM2282542,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282542,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040594,12 weeks,RNA-Seq,64,35866944,PRJNA339170,SAMN05582119,18794696,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031705,GSM2282543,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282543,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040595,12 weeks,RNA-Seq,64,31582400,PRJNA339170,SAMN05582118,16643910,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031706,GSM2282544,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282544,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040596,12 weeks,RNA-Seq,64,29605440,PRJNA339170,SAMN05582117,15538477,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031707,GSM2282545,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282545,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040597,12 weeks,RNA-Seq,64,39186560,PRJNA339170,SAMN05582115,20550976,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031708,GSM2282546,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282546,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040598,12 weeks,RNA-Seq,64,38828928,PRJNA339170,SAMN05582114,20366756,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031709,GSM2282547,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282547,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040599,12 weeks,RNA-Seq,64,33291008,PRJNA339170,SAMN05582113,17823226,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031710,GSM2282548,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282548,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040600,12 weeks,RNA-Seq,64,7094464,PRJNA339170,SAMN05582112,4221725,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031711,GSM2282549,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282549,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040601,12 weeks,RNA-Seq,64,2206848,PRJNA339170,SAMN05582111,1397793,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031712,GSM2282550,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282550,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040602,12 weeks,RNA-Seq,64,2584960,PRJNA339170,SAMN05582110,1611464,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031713,GSM2282551,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282551,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040603,12 weeks,RNA-Seq,64,6794368,PRJNA339170,SAMN05582109,4090245,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031714,GSM2282552,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282552,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040604,12 weeks,RNA-Seq,64,5922432,PRJNA339170,SAMN05582108,3580051,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031715,GSM2282553,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282553,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040605,12 weeks,RNA-Seq,64,52024256,PRJNA339170,SAMN05582107,27252052,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031716,GSM2282554,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282554,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040606,12 weeks,RNA-Seq,64,36770688,PRJNA339170,SAMN05582106,19301274,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031717,GSM2282555,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282555,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040607,12 weeks,RNA-Seq,64,37627392,PRJNA339170,SAMN05582105,19766796,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031718,GSM2282556,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282556,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040608,12 weeks,RNA-Seq,64,30615360,PRJNA339170,SAMN05582104,16163747,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031719,GSM2282557,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282557,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040609,12 weeks,RNA-Seq,64,32700672,PRJNA339170,SAMN05582103,17202582,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031720,GSM2282558,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282558,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040610,12 weeks,RNA-Seq,64,40084416,PRJNA339170,SAMN05582102,21057929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031721,GSM2282559,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282559,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040611,12 weeks,RNA-Seq,64,38559360,PRJNA339170,SAMN05582101,20275362,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031722,GSM2282560,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282560,Mouse Hippocampus region,SRP082327,C57BL/6
