"","sample_name","title","source_name","organism","donor_id","donor_sex","donor_genotype","injection_type","injection_target","injected_material","dissected_region","dissected_layer","facs_gating","facs_date","rna_amplification_set","sequencing_tube","sequencing_batch","sequencing_qc_pass_fail","cell_class","cell_subclass","cell_cluster","molecule","SRA_Run","GEO_Sample","GEO_Sample_Title","iegsum_activity","tPC1_score","scaled.tPC1_score","scaled.iegsum_activity","Fos","Arc","Npas4","Dusp1","Fosb","Nr4a1","Igf1","Gpd1"
"5416","F2S4_160405_024_E01","F2S4_160405_024_E01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Vip","Vip Lmo1 Fam159b","polyA RNA","SRR7328045","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",139.873976019708,3.29890408345718,1.22947526607416,1.58280203429746,1.29103017551004,-0.320633569434866,-0.373510623367559,0.498983662378528,-0.444875322622506,1.28562270359674,0.953264145740194,2.05052457600272
"5417","F2S4_160405_024_F01","F2S4_160405_024_F01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Vip","Vip Gpc3 Slc18a3","polyA RNA","SRR7328046","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",84.2057915701765,-0.330176954175862,0.985628010465336,-0.289783098687712,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.927519930650455,2.21988318127856
"5418","F2S4_160405_024_G01","F2S4_160405_024_G01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7328047","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",71.168481229842,-16.8621570016359,-0.586744128900835,-0.728336533811097,0.327975874873405,-0.320633569434866,-0.373510623367559,0.834805780909204,-0.444875322622506,0.158571601720602,-0.360280150969301,-0.775497946516473
"5420","F2S4_160405_025_A01","F2S4_160405_025_A01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7328049","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",76.1359466769659,-24.0974235786704,-0.757009309985166,-0.561239258466419,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.704585617412286,-0.444875322622506,-0.758551398604891,0.0359181643361455,-0.775497946516473
"5421","F2S4_160405_025_B01","F2S4_160405_025_B01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7328050","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",55.4189081672258,-21.9364995824403,-0.730466924088031,-1.25812597565389,-1.11469236483278,-0.320633569434866,-0.373510623367559,-0.831867338673945,-0.444875322622506,-0.758551398604891,-0.23027119510247,-0.775497946516473
"5422","F2S4_160405_025_C01","F2S4_160405_025_C01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7328051","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",82.8703180905576,-19.6711852231904,-0.606803267443871,-0.334706205272902,1.00813409229001,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.49071175377739,0.239468115374638,-0.775497946516473
"5424","F2S4_160405_025_E01","F2S4_160405_025_E01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Myh8 Etv1","polyA RNA","SRR7328053","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",132.819543758308,-26.8614866927782,-0.906645392233495,1.34550266653515,0.742390363646607,-0.320633569434866,-0.373510623367559,0.918664000013419,0.147457958929325,1.47756233369873,-0.929091579545465,-0.775497946516473
"5425","F2S4_160405_025_F01","F2S4_160405_025_F01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Calb2 Pdlim5","polyA RNA","SRR7328054","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",109.945217903533,-34.806822345299,-1.01562948419187,0.576048391238244,0.432082768489086,4.07395311304154,-0.373510623367559,0.839974296788063,-0.444875322622506,-0.758551398604891,-0.124280362265439,0.350089217268699
"5426","F2S4_160405_025_G01","F2S4_160405_025_G01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Calb2 Necab1","polyA RNA","SRR7328056","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",81.7259415675523,-34.9547927692559,-1.04024693821367,-0.373201128085767,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.471954536370003,-0.444875322622506,-0.758551398604891,0.262750156855098,-0.775497946516473
"5427","F2S4_160405_025_H01","F2S4_160405_025_H01","Primary Visual Cortex (VISp)","Mus musculus","237583","M","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","4/5/2016","A8S4_160412_02","LS-15069","R8S4-160513","Pass","GABAergic","Sst","Sst Myh8 Etv1","polyA RNA","SRR7328057","GSM3189922","VISp_Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_3",139.791138022904,-33.7027827438514,-0.905534558243554,1.58001550186794,0.773085225090817,2.3018047453338,-0.373510623367559,0.692039872306286,1.7302712524155,1.39178368798105,0.119604894185262,-0.775497946516473
"5442","F2S4_160128_009_G01","F2S4_160128_009_G01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7337155","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",108.394388045824,22.7755749728708,0.979039753905304,0.523881054292523,1.38766681870678,0.0790703958047023,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.136638542400561,1.18068381790192
"5446","F2S4_160128_010_C01","F2S4_160128_010_C01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7337159","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",48.3311822782081,-4.7109414660753,-0.400547647820025,-1.49654528567254,0.293016998005661,-0.320633569434866,-0.373510623367559,-0.55659490199068,-0.444875322622506,0.238549693435721,0.423609002969901,-0.775497946516473
"5452","F2S4_160128_024_A01","F2S4_160128_024_A01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Arhgap36 Hmcn1","polyA RNA","SRR7337166","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",80.7653199139909,19.7043375384844,1.45045022852519,-0.40551484272673,0.623491384665213,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,0.165871920288661,0.927034211177244,1.79201796566613
"5462","F2S4_160128_025_C01","F2S4_160128_025_C01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Arhgap36 Hmcn1","polyA RNA","SRR7337177","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",72.0153807080771,6.80821151715644,1.20858595677394,-0.699848243996046,0.506178339432445,0.140612717316285,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.38031261161132,1.06062100957475,2.18957683076509
"5463","F2S4_160128_025_D01","F2S4_160128_025_D01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Igfbp6 Car10","polyA RNA","SRR7337178","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",78.633232765646,22.9797793800063,1.16966923393622,-0.477234708134572,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,0.307182004769246,0.95902868171327,1.38035967012142
"5468","F2S4_160128_026_A01","F2S4_160128_026_A01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Sst","Sst Esm1","polyA RNA","SRR7337183","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",104.12176495929,-21.9558402910629,-0.60457576240295,0.380157120239195,0.0674727241271826,0.492479552935092,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.717399896959557,-0.775497946516473
"5470","F2S4_160128_026_C01","F2S4_160128_026_C01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Pvalb","Pvalb Akr1c18 Ntf3","polyA RNA","SRR7337186","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",73.1993834937596,4.57181916462006,-0.793624559167812,-0.660020359616376,-0.870371809913765,-0.320633569434866,-0.373510623367559,0.89146666437272,-0.444875322622506,0.419017605224896,0.0909553495153106,-0.775497946516473
"5471","F2S4_160128_026_D01","F2S4_160128_026_D01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Pvalb","Pvalb Akr1c18 Ntf3","polyA RNA","SRR7337187","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",80.1269809644754,-19.6351860249538,-1.13562022282143,-0.426987503250655,-0.444792838763304,-0.320633569434866,-0.373510623367559,0.671729414238006,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"5473","F2S4_160128_026_F01","F2S4_160128_026_F01","Primary Visual Cortex (VISp)","Mus musculus","227802","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","1/28/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Lmo1 Fam159b","polyA RNA","SRR7337189","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",89.6806472587629,38.5607431422654,1.47288051541712,-0.105618059553363,1.02346279775685,-0.320633569434866,-0.373510623367559,1.16462480986357,-0.444875322622506,1.35274047488548,1.31369112221069,1.77668324277249
"5492","F2S4_160330_005_A01","F2S4_160330_005_A01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7337210","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",66.0065545544851,39.8389373965416,1.3840734653269,-0.901975161429645,0.81954351179473,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.206880199166247,0.946524698175332,1.71661171955556
"5493","F2S4_160330_005_B01","F2S4_160330_005_B01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7337211","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",68.0928124721546,63.1733329636626,1.3668755255483,-0.831796915114781,-1.11469236483278,-0.320633569434866,4.33156978033858,-1.21288044395544,2.71764327267726,-0.514855610273625,1.07247316011471,1.24485983104451
"5494","F2S4_160330_005_C01","F2S4_160330_005_C01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7337212","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",85.8744501262587,-12.9852289899552,0.221665717944496,-0.233652200311084,0.277313742305916,-0.320633569434866,2.11675438194364,0.986486496169938,-0.444875322622506,0.288451668593797,0.448356226468736,-0.775497946516473
"5495","F2S4_160330_005_D01","F2S4_160330_005_D01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7337213","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",120.992917040033,35.4443948436782,1.03608332874112,0.947674614749414,1.09033998748417,-0.320633569434866,-0.373510623367559,-1.21288044395544,2.4771238845831,1.32448028858952,1.23542729265914,1.69381612467852
"5496","F2S4_160330_005_E01","F2S4_160330_005_E01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7337214","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",46.8505758795636,-2.97579563509875,0.383040420657584,-1.54635042225676,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.741085527961829,-0.775497946516473
"5497","F2S4_160330_005_F01","F2S4_160330_005_F01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Lect1 Oxtr","polyA RNA","SRR7337215","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",136.416716042714,4.28911683517446,1.04132886536184,1.46650555907015,1.00464226449478,-0.320633569434866,-0.373510623367559,0.515008705478496,2.25669054236878,1.89761735052519,0.947269805534152,0.844548843777813
"5498","F2S4_160330_005_G01","F2S4_160330_005_G01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Lmo1 Myl1","polyA RNA","SRR7337216","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",104.907848476301,20.1147007085553,1.27329765171604,0.406599662272759,0.944008519977898,3.14515191373328,3.48093754707237,-1.21288044395544,2.56560496660744,1.63594129599068,1.26608736514669,1.84624289716706
"5499","F2S4_160330_005_H01","F2S4_160330_005_H01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7337218","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",97.3919910765058,46.2160684660277,1.35867827274937,0.153778720335046,1.33878562546854,-0.320633569434866,-0.373510623367559,0.605967928061195,-0.444875322622506,2.09950324367456,1.03308536323275,1.9646500312452
"5512","F2S4_160330_012_E01","F2S4_160330_012_E01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7337232","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",96.1708279621948,-24.9776031862234,0.230091787084779,0.112700824308425,0.161017050424758,-0.320633569434866,-0.373510623367559,0.647858614301034,-0.444875322622506,0.152574823578414,0.305342001008547,1.10029265382233
"5519","F2S4_160330_013_D01","F2S4_160330_013_D01","Primary Visual Cortex (VISp)","Mus musculus","237303","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","3/30/2016","A8S4_160412_03","LS-15070","R8S4-160513","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7337241","GSM3189967","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_4",83.0449365197749,22.4791927936439,1.20445570972528,-0.328832331753748,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.873998701702985,2.46626390265304,1.77223427813975,0.986871020002284,2.01446552846951
"5533","F2S4_160405_009_B01","F2S4_160405_009_B01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Plch2 Dock5","polyA RNA","SRR7328865","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",80.9737784847572,-21.3267450682878,0.226395579898694,-0.398502643131571,-1.11469236483278,-0.320633569434866,-0.373510623367559,1.1979541848473,-0.444875322622506,-0.0863971909091399,0.211897564188348,-0.775497946516473
"5534","F2S4_160405_009_C01","F2S4_160405_009_C01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Ntn1 Npy2r","polyA RNA","SRR7328876","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",91.8994062923564,-22.307226645107,0.486860751954917,-0.0309826960855552,0.496037642269122,-0.320633569434866,-0.373510623367559,0.927305039728791,-0.444875322622506,1.54093300197858,0.251912543714579,-0.775497946516473
"5535","F2S4_160405_009_D01","F2S4_160405_009_D01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Plch2 Dock5","polyA RNA","SRR7328887","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",44.4378988954765,17.8565318641523,0.457933363565352,-1.62750886303891,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.23360238176024,-0.775497946516473
"5536","F2S4_160405_009_E01","F2S4_160405_009_E01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7328898","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",128.846473363673,-8.5861262933806,0.581462337615071,1.21185518679667,1.35480443041839,-0.320633569434866,2.03002007011816,1.55450019154454,-0.444875322622506,1.76062958628273,1.0416330676241,-0.775497946516473
"5537","F2S4_160405_009_F01","F2S4_160405_009_F01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Fam19a1 Tmem182","polyA RNA","SRR7328909","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",146.445822373221,-12.4353691375679,0.66998108186317,1.80386801479494,1.2341638682976,5.11792286360753,1.01941874138941,1.33924329656141,1.25523431488849,1.85314915044947,0.363997364152021,0.498034103752976
"5538","F2S4_160405_009_G01","F2S4_160405_009_G01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7328920","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",54.2464216887654,-3.15669406510104,0.352853619466886,-1.29756647061347,-0.958190189971376,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.472903448082692,-0.775497946516473
"5541","F2S4_160405_010_B01","F2S4_160405_010_B01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Plch2 Dock5","polyA RNA","SRR7328834","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",62.6698766540406,25.9144153993481,0.593284362149444,-1.01421545616383,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.47459963889322,-0.775497946516473
"5543","F2S4_160405_010_D01","F2S4_160405_010_D01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Ntn1 Npy2r","polyA RNA","SRR7328856","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",140.152240144171,-10.1575848847642,0.592538236316077,1.59216237661264,0.185865734744531,-0.320633569434866,-0.373510623367559,0.928135012676664,-0.444875322622506,1.43491869125215,-1.53897372838798,-0.775497946516473
"5546","F2S4_160405_010_G01","F2S4_160405_010_G01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Plch2 Dock5","polyA RNA","SRR7328860","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",84.3823716109837,-24.1256903889523,0.420272473675067,-0.283843239817388,0.90958250333181,-0.320633569434866,-0.373510623367559,0.689682449389193,-0.444875322622506,1.04885800011134,0.549995914084612,-0.775497946516473
"5553","F2S4_160405_022_F01","F2S4_160405_022_F01","Primary Visual Cortex (VISp)","Mus musculus","237569","M","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L1","RFP-positive","4/5/2016","A8S4_160413_02","LS-15072","R8S4-160513","Pass","GABAergic","Lamp5","Lamp5 Plch2 Dock5","polyA RNA","SRR7328868","GSM3189929","VISp_Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt_No Injection_1",167.933907164592,-15.3629194931857,0.645415900684,2.52669144642898,1.6952481689328,-0.320633569434866,-0.373510623367559,1.06087270483768,0.989091037488758,2.45185522498472,0.60064045212363,-0.775497946516473
