Accession,Title,Cellgroup,ArcStatus,FosStatus,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2609489,121_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791852,SRX2791852,Fred H Gage,27-Jul-18
GSM2609490,122_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791853,SRX2791853,Fred H Gage,27-Jul-18
GSM2609491,123_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791854,SRX2791854,Fred H Gage,27-Jul-18
GSM2609492,124_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791855,SRX2791855,Fred H Gage,27-Jul-18
GSM2609493,125_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791856,SRX2791856,Fred H Gage,27-Jul-18
GSM2609494,126_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791857,SRX2791857,Fred H Gage,27-Jul-18
GSM2609495,127_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791858,SRX2791858,Fred H Gage,27-Jul-18
GSM2609496,128_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791859,SRX2791859,Fred H Gage,27-Jul-18
GSM2609497,129_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791860,SRX2791860,Fred H Gage,27-Jul-18
GSM2609498,130_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791861,SRX2791861,Fred H Gage,27-Jul-18
GSM2609499,131_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791862,SRX2791862,Fred H Gage,27-Jul-18
GSM2609500,132_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791863,SRX2791863,Fred H Gage,27-Jul-18
GSM2609501,133_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791864,SRX2791864,Fred H Gage,27-Jul-18
GSM2609502,134_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791865,SRX2791865,Fred H Gage,27-Jul-18
GSM2609503,135_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791866,SRX2791866,Fred H Gage,27-Jul-18
GSM2609504,136_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791867,SRX2791867,Fred H Gage,27-Jul-18
GSM2609505,137_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791868,SRX2791868,Fred H Gage,27-Jul-18
GSM2609506,138_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791869,SRX2791869,Fred H Gage,27-Jul-18
GSM2609507,139_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791870,SRX2791870,Fred H Gage,27-Jul-18
GSM2609508,140_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791871,SRX2791871,Fred H Gage,27-Jul-18
GSM2609509,141_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791872,SRX2791872,Fred H Gage,27-Jul-18
GSM2609510,142_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791873,SRX2791873,Fred H Gage,27-Jul-18
GSM2609511,143_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791874,SRX2791874,Fred H Gage,27-Jul-18
GSM2609512,144_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791875,SRX2791875,Fred H Gage,27-Jul-18
GSM2609513,145_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791876,SRX2791876,Fred H Gage,27-Jul-18
GSM2609514,146_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791877,SRX2791877,Fred H Gage,27-Jul-18
GSM2609515,147_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791878,SRX2791878,Fred H Gage,27-Jul-18
GSM2609516,148_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791879,SRX2791879,Fred H Gage,27-Jul-18
GSM2609517,149_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791880,SRX2791880,Fred H Gage,27-Jul-18
GSM2609518,150_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791881,SRX2791881,Fred H Gage,27-Jul-18
GSM2609519,151_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791882,SRX2791882,Fred H Gage,27-Jul-18
GSM2609520,152_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791883,SRX2791883,Fred H Gage,27-Jul-18
GSM2609521,153_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791884,SRX2791884,Fred H Gage,27-Jul-18
GSM2609522,154_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791885,SRX2791885,Fred H Gage,27-Jul-18
GSM2609523,155_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791886,SRX2791886,Fred H Gage,27-Jul-18
GSM2609524,156_HC_N_Pvalb,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791887,SRX2791887,Fred H Gage,27-Jul-18
GSM2609525,157_HC_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791888,SRX2791888,Fred H Gage,27-Jul-18
GSM2609526,158_HC_N_Pvalb,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791889,SRX2791889,Fred H Gage,27-Jul-18
GSM2609527,159_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791890,SRX2791890,Fred H Gage,27-Jul-18
GSM2609528,160_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791891,SRX2791891,Fred H Gage,27-Jul-18
GSM2609529,161_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791892,SRX2791892,Fred H Gage,27-Jul-18
GSM2609530,162_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791893,SRX2791893,Fred H Gage,27-Jul-18
GSM2609531,163_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791894,SRX2791894,Fred H Gage,27-Jul-18
GSM2609532,164_1hr_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791895,SRX2791895,Fred H Gage,27-Jul-18
GSM2609533,165_1hr_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791896,SRX2791896,Fred H Gage,27-Jul-18
GSM2609534,166_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791897,SRX2791897,Fred H Gage,27-Jul-18
GSM2609535,167_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791898,SRX2791898,Fred H Gage,27-Jul-18
GSM2609536,168_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791899,SRX2791899,Fred H Gage,27-Jul-18
GSM2609537,169_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791900,SRX2791900,Fred H Gage,27-Jul-18
GSM2609538,170_1hr_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791901,SRX2791901,Fred H Gage,27-Jul-18
GSM2609539,171_1hr_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791902,SRX2791902,Fred H Gage,27-Jul-18
GSM2609540,172_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791903,SRX2791903,Fred H Gage,27-Jul-18
GSM2609541,173_1hr_N_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791904,SRX2791904,Fred H Gage,27-Jul-18
GSM2609542,174_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791905,SRX2791905,Fred H Gage,27-Jul-18
GSM2609543,175_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791906,SRX2791906,Fred H Gage,27-Jul-18
GSM2609544,176_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791907,SRX2791907,Fred H Gage,27-Jul-18
GSM2609545,177_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791908,SRX2791908,Fred H Gage,27-Jul-18
GSM2609546,178_1hr_F_Pvalb,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791909,SRX2791909,Fred H Gage,27-Jul-18
GSM2609547,179_1hr_F_Pvalb,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791910,SRX2791910,Fred H Gage,27-Jul-18
GSM2609548,180_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791911,SRX2791911,Fred H Gage,27-Jul-18
GSM2609549,181_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791912,SRX2791912,Fred H Gage,27-Jul-18
GSM2609550,182_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791913,SRX2791913,Fred H Gage,27-Jul-18
GSM2609551,183_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791914,SRX2791914,Fred H Gage,27-Jul-18
GSM2609552,184_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791915,SRX2791915,Fred H Gage,27-Jul-18
GSM2609553,185_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791916,SRX2791916,Fred H Gage,27-Jul-18
GSM2609554,186_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791917,SRX2791917,Fred H Gage,27-Jul-18
GSM2609555,187_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791918,SRX2791918,Fred H Gage,27-Jul-18
GSM2609556,188_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791919,SRX2791919,Fred H Gage,27-Jul-18
GSM2609557,189_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791920,SRX2791920,Fred H Gage,27-Jul-18
GSM2609558,190_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791921,SRX2791921,Fred H Gage,27-Jul-18
GSM2609559,191_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791922,SRX2791922,Fred H Gage,27-Jul-18
GSM2609560,192_1hr_F_CA3,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791923,SRX2791923,Fred H Gage,27-Jul-18
GSM2609561,193_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791924,SRX2791924,Fred H Gage,27-Jul-18
GSM2609562,194_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791925,SRX2791925,Fred H Gage,27-Jul-18
GSM2609563,195_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791926,SRX2791926,Fred H Gage,27-Jul-18
GSM2609564,196_HC_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791927,SRX2791927,Fred H Gage,27-Jul-18
GSM2609565,197_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791928,SRX2791928,Fred H Gage,27-Jul-18
GSM2609566,198_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791929,SRX2791929,Fred H Gage,27-Jul-18
GSM2609567,199_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791930,SRX2791930,Fred H Gage,27-Jul-18
GSM2609568,200_HC_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791931,SRX2791931,Fred H Gage,27-Jul-18
GSM2609569,201_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791932,SRX2791932,Fred H Gage,27-Jul-18
GSM2609570,202_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791933,SRX2791933,Fred H Gage,27-Jul-18
GSM2609571,203_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791934,SRX2791934,Fred H Gage,27-Jul-18
GSM2609572,204_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791935,SRX2791935,Fred H Gage,27-Jul-18
GSM2609573,205_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791936,SRX2791936,Fred H Gage,27-Jul-18
GSM2609574,206_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791937,SRX2791937,Fred H Gage,27-Jul-18
GSM2609575,207_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791938,SRX2791938,Fred H Gage,27-Jul-18
GSM2609576,208_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791939,SRX2791939,Fred H Gage,27-Jul-18
GSM2609577,209_HC_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791940,SRX2791940,Fred H Gage,27-Jul-18
GSM2609578,210_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791941,SRX2791941,Fred H Gage,27-Jul-18
GSM2609579,211_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791942,SRX2791942,Fred H Gage,27-Jul-18
GSM2609580,212_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791943,SRX2791943,Fred H Gage,27-Jul-18
GSM2609581,213_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791944,SRX2791944,Fred H Gage,27-Jul-18
GSM2609582,214_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791945,SRX2791945,Fred H Gage,27-Jul-18
GSM2609583,215_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791946,SRX2791946,Fred H Gage,27-Jul-18
GSM2609584,216_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791947,SRX2791947,Fred H Gage,27-Jul-18
GSM2609585,217_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791948,SRX2791948,Fred H Gage,27-Jul-18
GSM2609586,218_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791949,SRX2791949,Fred H Gage,27-Jul-18
GSM2609587,219_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791950,SRX2791950,Fred H Gage,27-Jul-18
GSM2609588,220_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791951,SRX2791951,Fred H Gage,27-Jul-18
GSM2609589,221_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791952,SRX2791952,Fred H Gage,27-Jul-18
GSM2609590,222_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791953,SRX2791953,Fred H Gage,27-Jul-18
GSM2609591,223_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791954,SRX2791954,Fred H Gage,27-Jul-18
GSM2609592,224_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791955,SRX2791955,Fred H Gage,27-Jul-18
GSM2609593,225_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791956,SRX2791956,Fred H Gage,27-Jul-18
GSM2609594,226_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791957,SRX2791957,Fred H Gage,27-Jul-18
GSM2609595,227_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791958,SRX2791958,Fred H Gage,27-Jul-18
GSM2609596,228_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791959,SRX2791959,Fred H Gage,27-Jul-18
GSM2609597,229_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791960,SRX2791960,Fred H Gage,27-Jul-18
GSM2609598,230_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791961,SRX2791961,Fred H Gage,27-Jul-18
GSM2609599,231_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791962,SRX2791962,Fred H Gage,27-Jul-18
GSM2609600,232_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791963,SRX2791963,Fred H Gage,27-Jul-18
GSM2609601,233_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791964,SRX2791964,Fred H Gage,27-Jul-18
GSM2609602,234_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791965,SRX2791965,Fred H Gage,27-Jul-18
GSM2609603,235_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791966,SRX2791966,Fred H Gage,27-Jul-18
GSM2609604,236_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791967,SRX2791967,Fred H Gage,27-Jul-18
GSM2609605,237_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791968,SRX2791968,Fred H Gage,27-Jul-18
GSM2609606,238_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791969,SRX2791969,Fred H Gage,27-Jul-18
GSM2609607,239_1hr_F_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791970,SRX2791970,Fred H Gage,27-Jul-18
GSM2609608,240_1hr_F_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791971,SRX2791971,Fred H Gage,27-Jul-18
GSM2609609,241_HC_N_Th,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791972,SRX2791972,Fred H Gage,27-Jul-18
